iter	Passed	Remaining
427	1243	1662
428	1244	1656
429	1245	1650
430	1246	1645
431	1248	1642
432	1250	1637
433	1251	1631
434	1252	1626
435	1253	1620
436	1253	1615
437	1254	1610
438	1255	1604
439	1256	1599
440	1257	1593
441	1258	1588
442	1259	1583
443	1259	1577
444	1260	1572
445	1263	1569
446	1266	1566
447	1267	1561
448	1268	1556
449	1269	1551
450	1270	1546
451	1270	1540
452	1271	1535
453	1272	1530
454	1273	1525
455	1274	1520
456	1275	1514
457	1276	1510
458	1280	1508
459	1281	1504
460	1282	1499
461	1282	1494
462	1283	1489
463	1284	1484
464	1285	1479
465	1286	1474
466	1287	1469
467	1288	1464
468	1288	1459
469	1289	1454
470	1290	1449
471	1294	1447
472	1296	1444
473	1297	1439
474	1298	1434
475	1298	1429
476	1299	1424
477	1300	1420
478	1301	1415
479	1302	1410
480	1302	1405
481	1303	1401
482	1304	1396
483	1306	1392
484	1308	1389
485	1309	1384
486	1310	1380
487	1311	1375
488	1311	1371
489	1312	1366
490	1314	1362
491	1315	1357
492	1315	1353
493	1316	1348
494	1317	1344
495	1318	1339
496	1319	1335
497	1320	1330
498	1321	1327
499	1324	1324
500	1325	1319
501	1326	1315
502	1326	1311
503	1327	1306
504	1328	1302
505	1329	1298
506	1330	1293
507	1331	1289
508	1332	1285
509	1332	1280
510	1333	1276
511	1334	1272
512	1339	1271
513	1341	1268
514	1342	1263
515	1342	1259
516	1343	1255
517	1344	1251
518	1345	1247
519	1346	1242
520	1347	1238
521	1348	1234
522	1349	1230
523	1351	1227
524	1354	1225
525	1355	1221
526	1356	1217
527	1358	1214
528	1358	1209
529	1359	1206
530	1361	1202
531	1361	1198
532	1362	1194
533	1364	1190
534	1368	1189
535	1370	1186
536	1371	1182
537	1372	1178
538	1373	1174
539	1374	1170
540	1375	1166
541	1376	1162
542	1377	1159
543	1378	1155
544	1381	1153
545	1384	1151
546	1386	1148
547	1387	1144
548	1388	1140
549	1389	1136
550	1390	1132
551	1391	1128
552	1392	1125
553	1393	1121
554	1398	1121
555	1401	1118
556	1402	1115
557	1403	1111
558	1405	1108
559	1406	1104
560	1407	1101
561	1410	1099
562	1414	1097
563	1416	1094
564	1418	1091
565	1419	1088
566	1420	1084
567	1422	1081
568	1427	1081
569	1431	1079
570	1433	1076
571	1434	1073
572	1435	1069
573	1437	1066
574	1443	1067
575	1446	1065
576	1448	1061
